Time,DOMnumber,channel,deltaT
1599659160.1,2.0,0.0,13.0
1599659160.1,2.0,12.0,19.0
1599659160.1,3.0,0.0,15.0
1599659160.1,3.0,12.0,20.0
1599659160.1,4.0,0.0,11.0
1599659160.1,4.0,12.0,10.0
1599659160.1,5.0,0.0,15.0
1599659160.1,5.0,12.0,19.0
1599659160.1,7.0,0.0,15.0
1599659160.1,7.0,12.0,14.0
1599659160.1,8.0,0.0,18.0
1599659160.1,8.0,12.0,11.0
1599659160.1,9.0,0.0,11.0
1599659160.1,9.0,12.0,16.0
1599659160.1,10.0,0.0,13.0
1599659160.1,10.0,12.0,19.0
1599659160.1,11.0,0.0,14.0
1599659160.1,11.0,12.0,8.0
1599659160.1,12.0,0.0,15.0
1599659160.1,12.0,12.0,9.0
1599659160.1,13.0,0.0,16.0
1599659160.1,13.0,12.0,10.0
1599659160.1,14.0,0.0,17.0
1599659160.1,14.0,12.0,11.0
1599659160.1,15.0,0.0,18.0
1599659160.1,15.0,12.0,12.0
1599659160.1,16.0,0.0,6.0
1599659160.1,16.0,12.0,13.0
1599659160.1,17.0,0.0,8.0
1599659160.1,17.0,12.0,14.0
1599659160.1,18.0,0.0,10.0
1599659160.1,18.0,12.0,16.0
